# PROVENANCE: extracted from OpenMOPAC (Molecular Orbital PACkage)
# source repo: https://github.com/openmopac/mopac  tag: v23.2.5
# source file: src/models/alpb_and_xfac_mndo.F90
# source license: Apache-2.0
# extraction script: tools/extract_xndo_params.py
zi,zj,alpb,xfac
46,15,3.995342e0,4.829767e0
46,16,5.657215e0,5.280869e0
46,17,3.340418e0,3.257806e0
46,35,3.824737e0,5.152525e0
46,46,3.749207e0,5.524179e0
47,1,1.906028e0,0.598879e0
47,6,2.383592e0,1.351594e0
47,7,2.523534e0,1.217347e0
47,8,2.461500e0,0.941833e0
47,9,2.390898e0,0.701901e0
47,15,1.083516e0,0.120610e0
47,16,2.508196e0,2.395844e0
47,17,1.916406e0,0.396164e0
47,35,2.436224e0,1.260972e0
47,47,3.137432e0,1.873430e0
53,3,2.430052e0,9.738383e0
53,11,2.138290e0,10.000025e0
53,12,2.563705e0,10.000011e0
53,19,1.848045e0,8.419048e0
53,20,1.233027e0,1.073378e0
53,21,1.107792e0,0.145416e0
53,22,1.085513e0,0.335123e0
53,23,3.779472e0,9.205430e0
53,24,1.309520e0,0.309901e0
53,26,3.254087e0,2.239898e0
53,27,4.356713e0,1.104424e0
53,28,4.686287e0,1.274164e0
53,29,1.647705e0,0.157448e0
53,38,0.999837e0,0.819781e0
53,40,1.027422e0,0.428563e0
53,42,2.248014e0,2.117515e0
53,46,5.705495e0,5.229526e0
53,47,2.078961e0,0.900167e0
55,1,1.332561e0,8.705312e0
55,6,1.090683e0,4.897821e0
55,7,0.999646e0,0.099792e0
55,8,3.528675e0,4.390620e0
55,9,2.999365e0,4.453994e0
55,15,2.593617e0,0.190509e0
55,16,4.000021e0,4.423858e0
55,17,1.969222e0,3.000681e0
55,35,2.046451e0,4.694115e0
55,53,1.847641e0,3.998888e0
55,55,0.996356e0,4.999747e0
56,1,1.171257e0,0.099982e0
56,6,1.047588e0,0.099981e0
56,7,1.000237e0,0.099981e0
56,8,1.422688e0,0.383114e0
56,9,1.730509e0,1.127771e0
56,16,1.505311e0,1.957151e0
56,17,1.129944e0,0.557748e0
56,35,1.585564e0,2.326451e0
56,53,1.271836e0,1.714690e0
56,56,1.000402e0,0.136939e0
78,1,2.287480e0,0.419211e0
78,6,2.401063e0,0.773872e0
78,7,2.277268e0,0.476560e0
78,8,2.298204e0,0.587388e0
78,9,1.114424e0,0.119676e0
78,14,0.999989e0,0.099989e0
78,15,2.131889e0,0.099936e0
78,16,1.671855e0,0.125941e0
78,17,1.569223e0,0.099612e0
78,35,1.571111e0,0.099993e0
78,53,2.085603e0,0.290991e0
78,78,0.999988e0,0.099990e0
